CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
NQU1,NIQUIA 1,Hidraulica,2004-11-03
4Z8L,MINIGRANJA SAN DIEGO SUR 1,Solar,2025-12-07
3Q87,GD ERCO SALDANA I 1,Solar,2024-11-18
TBST,TEBSA 21,Termica,1997-08-23
TYP3,TERMOYOPAL G3,Termica,2020-08-31
RGR1,RIO GRANDE 1,Hidraulica,1956-01-01
TFL1,FLORES 1 VAPOR,Termica,1993-11-01
TVL1,TERMOVALLE 1 VAPOR,Termica,2011-12-17
SNCR,SAN CARLOS 6,Hidraulica,1987-04-28
TCDT,TERMOCANDELARIA CC 1,Termica,2000-05-18
GTPE,GUATAPE 6,Hidraulica,1972-01-01
GTRG,GUADALUPE 42,Hidraulica,1985-11-18
5F3Y,GD CARACOL II 1,Solar,2025-11-11
MATA,LA MATA 1,Solar,2024-06-27
IQU1,IQUIRA I 1,Hidraulica,1955-01-01
3CG9,LA CHORRERA 1,Hidraulica,2022-05-31
3HDE,SAN BARTOLOME 1,Hidraulica,2023-05-14
RBB1,RIO BOBO 1,Hidraulica,1960-01-01
CHVR,CHIVOR 1,Hidraulica,1977-05-23
ALBG,BAJO ANCHICAYA 1,Hidraulica,1957-01-01
3ENA,TESORITO 7,Termica,2022-09-14
PLYS,PLAYAS 1,Hidraulica,2003-10-23
3KLQ,AUTOG TERMOMACAGUA 1,Termica,2024-06-29
LBR1,NUEVO LIBARE 1,Hidraulica,1958-01-01
TSJ2,TASAJERO 2,Termica,2015-11-30
AYR1,AUTOG AYURA 1,Hidraulica,2011-01-06
HMIN,ESCUELA DE MINAS 3,Hidraulica,2019-09-30
PGUG,PARAISO 1,Hidraulica,1986-12-01
3J2H,PETALO DE CORDOBA II 1,Solar,2023-12-16
UNN1,UNION 1,Hidraulica,1994-01-01
3LMJ,CELSIA SOLAR BUGALAGRANDE 1,Solar,2024-09-21
3C4V,AUTOG TERMOTAME 3,Termica,2021-09-02
PRC2,PORCE II 3,Hidraulica,2000-05-13
4SO2,MINIGRANJA EL MERENGUE 1,Solar,2025-04-16
2QV2,BAJO TULUA 1,Hidraulica,2015-01-30
2U93,TERMOMECHERO 4,Termica,2018-02-02
ESMR,ESMERALDA 2,Hidraulica,1963-01-01
5AUG,GD PXV IV 1,Solar,2025-10-10
CUC1,CUCUANA 2,Hidraulica,2015-11-10
4S7E,MINIGRANJA EL SON 1,Solar,2025-04-28
CLDR,CALDERAS 2,Hidraulica,2006-06-30
CCN1,COCONUCO 1,Hidraulica,2000-09-27
INS1,INSULA 2,Hidraulica,1951-01-01
3HYG,URUACO 1,Solar,2023-06-18
3A44,PLANTA SOLAR BAYUNCA I 1,Solar,2020-09-30
2TYI,AUTOG CELSIA SOLAR YUMBO 1,Solar,2017-09-03
3KJK,SOL Y CIELO I 1,Solar,2024-05-26
