Nombre,Nombre_clean,Operador,Estado,Departamento,Municipio
BARRANQUILLA 3,BARRANQUILLA,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,Operación,ATLÁNTICO,SOLEDAD
CARTAGENA 1,CARTAGENA,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,Operación,BOLÍVAR,CARTAGENA DE INDIAS
FLORES 4 CC,FLORES 4 CC,ENFRAGEN TERMOFLORES S.A.S. E.S.P.,Operación,ATLÁNTICO,BARRANQUILLA
FLORES I CC,FLORES I CC,ENFRAGEN TERMOFLORES S.A.S. E.S.P.,Operación,ATLÁNTICO,BARRANQUILLA
GECELCA 3,GECELCA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,Operación,CÓRDOBA,PUERTO LIBERTADOR
GUAJIRA 1,GUAJIRA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,Operación,LA GUAJIRA,DIBULLA
MERILECTRICA 1,MERILECTRICA,CELSIA COLOMBIA S.A. E.S.P.,Operación,SANTANDER,BARRANCABERMEJA
PAIPA 1,PAIPA,GESTION ENERGETICA S.A. E.S.P.,Operación,BOYACÁ,PAIPA
PROELECTRICA 1,PROELECTRICA,PROELECTRICA S.A.S E.S.P.,Operación,BOLÍVAR,CARTAGENA DE INDIAS
TASAJERO 1,TASAJERO,TERMOTASAJERO S.A. E.S.P.,Operación,NORTE DE SANTANDER,SAN CAYETANO
TEBSAB CC,TEBSAB CC,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,Operación,ATLÁNTICO,SOLEDAD
TERMOCANDELARIA CC,TERMOCANDELARIA CC,TERMOCANDELARIA S.A.S. - E.S.P.,Operación,BOLÍVAR,CARTAGENA DE INDIAS
TERMOCARIBE III,TERMOCARIBE III,TERMO CARIBE S.A.S. E.S.P.,Operación,BOLÍVAR,SANTA ROSA
TERMOCENTRO CC,TERMOCENTRO CC,GENERADORA TERMOCENTRO S.A.S. E.S.P.,Operación,SANTANDER,CIMITARRA
TERMODORADA 1,TERMODORADA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,CALDAS,LA DORADA
TERMOEMCALI CC,TERMOEMCALI CC,TERMOEMCALI I S.A E.S.P,Operación,VALLE DEL CAUCA,PALMIRA
TERMONORTE,TERMONORTE,TERMONORTE S.A.S. E.S.P.,Operación,MAGDALENA,SANTA MARTA
TERMOSIERRA CC,TERMOSIERRA CC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,PUERTO NARE
TERMOVALLE CC,TERMOVALLE CC,ENFRAGEN TERMOVALLE S.A.S. EMPRESA DE SERVICIOS PUBLICOS,Operación,VALLE DEL CAUCA,PALMIRA
TERMOYOPAL 1,TERMOYOPAL,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,Operación,CASANARE,YOPAL
TESORITO,TESORITO,CELSIA COLOMBIA S.A. E.S.P.,Operación,CÓRDOBA,SAHAGÚN
VILLANUEVA,VILLANUEVA,REFOENERGY VILLANUEVA S.A.S E.S.P.,Operación,CASANARE,VILLANUEVA
ZIPAEMG 2,ZIPAEMG,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,TOCANCIPÁ
ALTO ANCHICAYA,ALTO ANCHICAYA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,BUENAVENTURA
AMOYA LA ESPERANZA,AMOYA LA ESPERANZA,ISAGEN S.A. E.S.P.,Operación,TOLIMA,CHAPARRAL
BAJO ANCHICAYA,BAJO ANCHICAYA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,BUENAVENTURA
BETANIA,BETANIA,ENEL COLOMBIA SA ESP,Operación,HUILA,YAGUARÁ
CALIMA,CALIMA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,CALIMA
CARLOS LLERAS,CARLOS LLERAS,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,Operación,ANTIOQUIA,GIRARDOTA
CHIVOR,CHIVOR,AES COLOMBIA & CIA. S.C.A. E.S.P.,Operación,BOYACÁ,SANTA MARÍA
CUCUANA,CUCUANA,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,RONCESVALLES
DARIO VALENCIA SAMPER,DARIO VALENCIA SAMPER,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,LA MESA
EL QUIMBO,EL QUIMBO,ENEL COLOMBIA SA ESP,Operación,HUILA,GIGANTE
ESCUELA DE MINAS,ESCUELA DE MINAS,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,Operación,ANTIOQUIA,MARINILLA
ESMERALDA,ESMERALDA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,CALDAS,CHINCHINÁ
GUADALUPE III,GUADALUPE III,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,GÓMEZ PLATA
GUADALUPE IV,GUADALUPE IV,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,GÓMEZ PLATA
GUATAPE,GUATAPE,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,GUATAPÉ
GUAVIO,GUAVIO,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,UBALÁ
ITUANGO,ITUANGO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,ITUANGO
JAGUAS,JAGUAS,ISAGEN S.A. E.S.P.,Operación,ANTIOQUIA,SAN RAFAEL
LA GUACA,LA GUACA,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,LA MESA
LA TASAJERA,LA TASAJERA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,GIRARDOTA
MIEL I,MIEL I,ISAGEN S.A. E.S.P.,Operación,CALDAS,NORCASIA
PARAISO,PARAISO,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,LA MESA
PLAYAS,PLAYAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,SAN CARLOS
PORCE II,PORCE II,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,AMALFI
PORCE III,PORCE III,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,ANORÍ
PRADO,PRADO,CELSIA COLOMBIA S.A. E.S.P.,Operación,TOLIMA,PRADO
SALTO II,SALTO II,ENEL COLOMBIA SA ESP,Operación,CUNDINAMARCA,EL COLEGIO
SALVAJINA,SALVAJINA,CELSIA COLOMBIA S.A. E.S.P.,Operación,CAUCA,SUÁREZ
SAN CARLOS,SAN CARLOS,ISAGEN S.A. E.S.P.,Operación,ANTIOQUIA,SAN CARLOS
SAN FRANCISCO,SAN FRANCISCO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,CALDAS,CHINCHINÁ
SAN MIGUEL,SAN MIGUEL,ISAGEN S.A. E.S.P.,Operación,ANTIOQUIA,SAN LUIS
SOGAMOSO,SOGAMOSO,ISAGEN S.A. E.S.P.,Operación,SANTANDER,GIRÓN
TRONERAS,TRONERAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Operación,ANTIOQUIA,CAROLINA
URRA,URRA,EMPRESA URRA S.A. E.S.P.,Operación,CÓRDOBA,TIERRALTA
ALMA II,ALMA II,DEPI ENERGY S.A.S. E.S.P.,Operación,ARAUCA,ARAUCA
ATLANTICO,ATLANTICO,ENEL COLOMBIA SA ESP,Pruebas,ATLÁNTICO,USIACURÍ
AUTOG BIOS CIENAGA ORO,AUTOG BIOS CIENAGA ORO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,CÓRDOBA,CIÉNAGA DE ORO
AUTOG BIOS CONTEGRAL CARTAGO,AUTOG BIOS CONTEGRAL CARTAGO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,VALLE DEL CAUCA,CARTAGO
AUTOG BIOS CONTEGRAL NEIVA,AUTOG BIOS CONTEGRAL NEIVA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,HUILA,NEIVA
AUTOG BIOS FINCA BUGA,AUTOG BIOS FINCA BUGA,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Pruebas,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG BUGA I GRASAS,AUTOG BUGA I GRASAS,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG BUGA I SOLLA,AUTOG BUGA I SOLLA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,BUGALAGRANDE
AUTOG CARVAJAL GINEBRA,AUTOG CARVAJAL GINEBRA,ENEL COLOMBIA SA ESP,Pruebas,VALLE DEL CAUCA,GINEBRA
AUTOG CELSIA SOLAR ESCOBAL CEMEX,AUTOG CELSIA SOLAR ESCOBAL CEMEX,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,IBAGUÉ
AUTOG CELSIA SOLAR ESPINAL,AUTOG CELSIA SOLAR ESPINAL,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,TOLIMA,ESPINAL
AUTOG CELSIA SOLAR HARINAS,AUTOG CELSIA SOLAR HARINAS,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,TULUÁ
AUTOG CELSIA SOLAR LEVAPAN,AUTOG CELSIA SOLAR LEVAPAN,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,TULUÁ
AUTOG CELSIA SOLAR PALMIRA 3,AUTOG CELSIA SOLAR PALMIRA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,PALMIRA
AUTOG CELSIA SOLAR TQ JAMUNDI,AUTOG CELSIA SOLAR TQ JAMUNDI,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,JAMUNDÍ
AUTOG CELSIA SOLAR TQ TECNOSUR,AUTOG CELSIA SOLAR TQ TECNOSUR,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,CAUCA,VILLA RICA
AUTOG CELSIA SOLAR YUMBO,AUTOG CELSIA SOLAR YUMBO,CELSIA COLOMBIA S.A. E.S.P.,Pruebas,VALLE DEL CAUCA,YUMBO
AUTOG CI JEANS,AUTOG CI JEANS,ERCO GENERACION S.A.S. ESP,Pruebas,ANTIOQUIA,LA ESTRELLA
AUTOG COMOLSA,AUTOG COMOLSA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG CORONA SOPO,AUTOG CORONA SOPO,ENEL COLOMBIA SA ESP,Pruebas,CUNDINAMARCA,SOPÓ
AUTOG EL COPEY,AUTOG EL COPEY,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,Pruebas,CESAR,EL COPEY
AUTOG HIDROSOLAR I,AUTOG HIDROSOLAR I,ERCO GENERACION S.A.S. ESP,Pruebas,CASANARE,YOPAL
AUTOG MILPA SAN CARLOS,AUTOG MILPA SAN CARLOS,ENEL COLOMBIA SA ESP,Pruebas,CUNDINAMARCA,GUACHETÁ
AUTOG MOLINOS SANTA MARTA,AUTOG MOLINOS SANTA MARTA,CELSIA COLOMBIA S.A. E.S.P.,Operación,VALLE DEL CAUCA,GUADALAJARA DE BUGA
AUTOG PALMERAS DE LA COSTA,AUTOG PALMERAS DE LA COSTA,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,Pruebas,CESAR,EL COPEY
AUTOG PINTUCO,AUTOG PINTUCO,ERCO GENERACION S.A.S. ESP,Pruebas,ANTIOQUIA,RIONEGRO
