CodigoPlanta,NombreUnidad,TipoGeneracion
2XXR,AGPE - ECOPETROL LA HORMIGA,Termica
3AL6,AGPE ENTREPALMAS,Termica
3AXV,AGPE INGENIO DE OCCIDENTE,Termica
AFR1,AGUA FRESCA 1,Hidraulica
2SDR,ALEJANDRIA 3,Hidraulica
ALTG,ALTO TULUA 2,Hidraulica
AMA1,AMAIME 1,Hidraulica
AMF1,AMALFI 1,Hidraulica
AMR1,AMERICA 1,Hidraulica
ARG1,ARGOS CARTAGENA 1,Termica
ASN1,ASNAZU 1,Hidraulica
2UX3,AURES BAJO 2,Hidraulica
2S6U,AUTOG ARGOS EL CAIRO 1,Hidraulica
2V25,AUTOG ARGOS SOGAMOSO 1,Termica
2S6S,AUTOG ARGOS YUMBO 1,Termica
AYR1,AUTOG AYURA 1,Hidraulica
3Q99,AUTOG BIODIANA 1,Termica
2T7D,AUTOG CANTAYUS 2,Hidraulica
3FCD,AUTOG CELSIA SOLAR PALMIRA 3 1,Solar
CMN1,AUTOG CEMENTOS DEL NARE 1,Hidraulica
2V27,AUTOG COCA-COLA FEMSA 1,Termica
4T6E,AUTOG CORPACERO 1,Termica
3IJF,AUTOG COSTAYACO 1,Termica
2YB9,AUTOG ECOPETROL ORITO,Termica
3RKP,AUTOG ENKA 1,Termica
4XQC,AUTOG GOLOSINAS TRULULU 1,Hidraulica
3ED1,AUTOG GRAN COLOMBIA GOLD 1,Hidraulica
3GJU,AUTOG INGENIO CARMELITA 1,Termica
3C3X,AUTOG INGENIO MARIA LUISA 1,Termica
4T6C,AUTOG LOS POCITOS 1,Termica
3ADA,AUTOG PTAR BELLO 4,Termica
2S8I,AUTOG REFICAR 1,Termica
4XP3,AUTOG TERMOARAUCA 1,Termica
3NNZ,AUTOG TERMOCOROCITO 1,Termica
3KLQ,AUTOG TERMOMACAGUA 1,Termica
3C4V,AUTOG TERMOTAME 3,Termica
2YWY,AUTOG TURGAS,Termica
3JNR,AUTOG UNIBOL 1,Termica
2S6Q,AUTOG YAGUARITO,Termica
2QV2,BAJO TULUA 1,Hidraulica
BAR1,BARROSO 1,Hidraulica
BYN1,BAYONA 1,Hidraulica
BLL3,BELLO 1,Hidraulica
BLM1,BELMONTE 1,Hidraulica
2SXQ,BIOENERGY,Termica
3EFY,BOSQUES SOLARES DE LOS LLANOS 4 1,Solar
3EDL,BOSQUES SOLARES DE LOS LLANOS 5 1,Solar
3PXE,BSB 500 1,Solar
3PXC,BSB 501 1,Solar
3PXF,BSB 502 1,Solar
3K8C,BSB 503 1,Solar
3K8E,BSB 504 1,Solar
CLDR,CALDERAS 2,Hidraulica
CPT1,CAMPESTRE (CALARCA) 1,Hidraulica
CMP2,CAMPESTRE (EPM) 1,Hidraulica
